Full Address,Marker Label,Building Code,Filter,Site,Building,Address,Postcode,Service Directorate,Department,TENURE,TERM START,LEASE EXPIRY DATE,1954 ACT SECURITY,NOTICE PERIOD,TERM REMAINING (Yrs),GIA m2 Total,GIA m2 Clinical,GIA m2 Non Clinical,GIA m2 Void,Land Area (ha)
275 Bancroft Road, E1 4DG, UK,Mile End Hospital - Tower Hamlets Centre for Mental Health  (2241b),2241b,Tower Hamlets,Mile End Hospital,Tower Hamlets Centre for Mental Health ,275 Bancroft Road,E1 4DG,Tower Hamlets MH,Older Adults Inpatient Wards,LEASEHOLD,2009-03-31 00:00:00,2108-03-30 00:00:00,Yes,6 Months,84,5630.0,5511.0,119.0,0.0,0.563
275 Bancroft Road, E1 4DG, UK,Mile End Hospital - Mile End Hospital (2242c),2242c,Tower Hamlets,Mile End Hospital,Mile End Hospital,275 Bancroft Road,E1 4DG,TH MH/TH CHS/Corporate/Estates/Pharmacy,Inpatient Facility/E&F/Pharmacy/TH Crisis/Healthroster,NO LEASE - PERIODIC UNDOCUMENTED TENANCY ,2006-04-13 00:00:00,no lease in place ,No,6 Months,90,124.18,,,0.0,0.012418
275 Bancroft Road, E1 4DG, UK,Mile End Hospital - Mile End Hospital (2241a),2241a,Tower Hamlets,Mile End Hospital,Mile End Hospital,275 Bancroft Road,E1 4DG,Tower Hamlets MH,Inpatient Facility ,NO LEASE - PERIODIC UNDOCUMENTED TENANCY ,2009-03-31 00:00:00,no lease in place ,No,6 Months,,540.0,531.0,9.0,0.0,0.054
275 Bancroft Road, E1 4DG, UK,Mile End Hospital - Mile End Hospital (2242a),2242a,Tower Hamlets,Mile End Hospital,Mile End Hospital,275 Bancroft Road,E1 4DG,Tower Hamlets MH,Perinatal Team,LEASEHOLD ,2023-04-01 00:00:00,2026-03-31 00:00:00,No,6 Months,2,126.31,0.0,126.0,0.0,0.012631
276 Bancroft Road, E1 4DG, UK,Mile End Hospital - Mile End Hospital (3001),3001,Tower Hamlets,Mile End Hospital,Mile End Hospital,276 Bancroft Road,E1 4DG,Tower Hamlets MH  / Corporate ,Office, OPD, MTT,Psych, Comm PD, 
CIS, E&F, Eating Disorders,NO LEASE - PERIODIC UNDOCUMENTED TENANCY ,2009-03-31 00:00:00,no lease in place ,No,6 Months,3,2050.52,,,0.0,0.205052
275 Bancroft Road, E1 4DG, UK,Mile End Hospital - Beaumont House (2116),2116,Tower Hamlets,Mile End Hospital,Beaumont House,275 Bancroft Road,E1 4DG,Corporate/TH Mental Health,Infection Control (IPC) / 111 Crisis Line Merger TH,UNDER LEASE PLUS AGREEMENT (ULPA),2024-02-01 00:00:00,2029,No,6 Months,5,150.0,,,0.0,0.015
275 Bancroft Road, E1 4DG, UK,Mile End Hospital - Beaumont House (2116),2116,Tower Hamlets,Mile End Hospital,Beaumont House,275 Bancroft Road,E1 4DG,Forensics,LD / ASD Community Forensic Team,UNDER LEASE PLUS AGREEMENT (ULPA),2023-10-09 00:00:00,2028-10-09 00:00:00,No,6 Months,4,736.0,,,0.0,0.0736
275 Bancroft Road, E1 4DG, UK,Mile End Hospital - Beaumont House (2116),2116,Tower Hamlets,Mile End Hospital,Beaumont House,275 Bancroft Road,E1 4DG,Tower Hamlets MH,Learning Disability Team / LD&A Intensive Support Team ,UNDER LEASE PLUS AGREEMENT (ULPA),2018-10-12 00:00:00,2031-03-23 00:00:00,No,6 Months,7,615.0,,,0.0,0.0615
275 Bancroft Road, E1 4DG, UK,Mile End Hospital - Beaumont House (2116),2116,Tower Hamlets,Mile End Hospital,Beaumont House,275 Bancroft Road,E1 4DG,TH CHS,Extended Primary Care Teams x 2, Continuing Healthcare Service, Urgent Community Response and Intermediate Care Service, Directorate Management,UNDER LEASE PLUS AGREEMENT (ULPA),2018-10-12 00:00:00,2031-03-24 00:00:00,No,6 Months,7,637.68,,,0.0,0.06376799999999999
